solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M164,SS,จุดเริ่มต้น,14.8675,99.8337,0.0,Sweeper,2023-01-01,2023-01-02,2023-01-02,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M164,F606,U64 - 001,14.867499,99.833655,55.0,Sweeper,2023-01-02,2023-01-03,2023-01-02,0.0,08:00,00:00,08:00,08:38,08:38,66.0,66000.0
S1,M164,F613,U64 - 008,14.506889,99.443172,27.0,Sweeper,2023-01-09,2023-01-09,2023-01-09,77.725,08:00,00:09,08:00,04:20,13:20,32.4,32400.0
S1,M164,F614,U64 - 009,14.528918,99.457384,40.0,Sweeper,2023-01-10,2023-01-11,2023-01-10,3.441,08:00,00:29,09:44,06:20,08:03,48.0,48000.0
S1,M164,F615,U64 - 0010,14.511288,99.423572,24.0,Sweeper,2023-01-11,2023-01-11,2023-01-11,6.524,08:00,00:20,08:23,03:52,13:15,28.8,28800.0
S1,M165,SS,จุดเริ่มต้น,14.8675,99.8337,0.0,Baler,2023-01-01,2023-01-03,2023-01-03,0.0,00:00,00:00,00:38,00:00,00:38,0.0,0.0
S1,M165,F606,U64 - 001,14.867499,99.833655,55.0,Baler,2023-01-03,2023-01-07,2023-01-03,0.0,08:38,00:00,08:38,35:12,11:50,66.0,66000.0
S1,M165,F613,U64 - 008,14.506889,99.443172,27.0,Baler,2023-01-09,2023-01-11,2023-01-09,77.725,12:19,03:53,13:20,17:22,14:41,32.4,32400.0
S1,M165,F614,U64 - 009,14.528918,99.457384,40.0,Baler,2023-01-11,2023-01-14,2023-01-11,3.441,08:03,00:10,14:52,25:39,16:30,48.0,48000.0
S1,M165,F615,U64 - 0010,14.511288,99.423572,24.0,Baler,2023-01-11,2023-01-16,2023-01-14,6.524,12:14,00:20,16:50,15:27,16:17,28.8,28800.0
S1,M166,SS,จุดเริ่มต้น,14.8675,99.8337,0.0,Picker,2023-01-01,2023-01-07,2023-01-07,0.0,00:00,00:00,03:50,00:00,03:50,0.0,0.0
S1,M166,F606,U64 - 001,14.867499,99.833655,55.0,Picker,2023-01-07,2023-01-08,2023-01-07,0.0,11:50,00:00,11:50,10:52,15:42,66.0,66000.0
S1,M166,F613,U64 - 008,14.506889,99.443172,27.0,Picker,2023-01-11,2023-01-12,2023-01-11,77.725,13:41,03:53,14:41,05:28,11:09,32.4,32400.0
S1,M166,F614,U64 - 009,14.528918,99.457384,40.0,Picker,2023-01-14,2023-01-15,2023-01-15,3.441,08:00,00:10,08:00,07:58,16:58,48.0,48000.0
S1,M166,F615,U64 - 0010,14.511288,99.423572,24.0,Picker,2023-01-16,2023-01-17,2023-01-17,6.524,08:00,00:20,08:00,04:53,13:53,28.8,28800.0
S1,M167,SS,จุดเริ่มต้น,14.8675,99.8337,0.0,Truck,2023-01-01,2023-01-07,2023-01-07,0.0,00:00,00:00,03:50,00:00,03:50,0.0,0.0
S1,M167,F606,U64 - 001,14.867499,99.833655,55.0,Truck,2023-01-01,2023-01-08,2023-01-07,0.0,08:00,00:00,11:50,10:52,15:42,66.0,66000.0
S1,M167,F613,U64 - 008,14.506889,99.443172,27.0,Truck,2023-01-01,2023-01-12,2023-01-11,77.725,08:00,03:53,14:41,05:28,11:09,32.4,32400.0
S1,M167,F614,U64 - 009,14.528918,99.457384,40.0,Truck,2023-01-01,2023-01-15,2023-01-15,3.441,08:00,00:10,08:00,07:58,16:58,48.0,48000.0
S1,M167,F615,U64 - 0010,14.511288,99.423572,24.0,Truck,2023-01-01,2023-01-17,2023-01-17,6.524,08:00,00:20,08:00,04:53,13:53,28.8,28800.0
