solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M117,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Sweeper,2023-01-06,2023-01-09,2023-01-09,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M117,F259,M33 แปลงที่ 3 -40050043,14.836332418645,99.912335525212,5.43,Sweeper,2023-01-09,2023-01-09,2023-01-09,0.0,08:00,00:03,08:00,02:53,10:53,6.516,6516.0
S1,M117,F261,M33 แปลงที่ 5 -40050047,14.842044270278,99.910425644325,12.19,Sweeper,2023-01-11,2023-01-11,2023-01-11,0.969,08:00,00:03,08:00,06:16,15:16,14.628,14628.0
S1,M117,F262,M33 แปลงที่ 6 -40050004,14.827717097623,99.879484680719,13.35,Sweeper,2023-01-13,2023-01-13,2023-01-13,4.385,08:00,00:13,08:00,06:50,15:50,16.02,16020.0
S1,M117,F264,M33 แปลงที่ 8 -40050050,14.82646983799,99.878339093247,15.78,Sweeper,2023-01-17,2023-01-17,2023-01-17,0.149,08:00,00:00,08:00,08:03,17:03,18.936,18936.0
S1,M117,F268,M33 แปลงที่ 12 -40050013,14.836874109935,99.922862098337,7.62,Sweeper,2023-01-20,2023-01-20,2023-01-20,5.577,08:00,00:17,08:00,03:59,11:59,9.144,9144.0
S1,M117,F270,M33 แปลงที่ 14 -40050041,14.846734121065,99.91543578105,9.75,Sweeper,2023-01-22,2023-01-22,2023-01-22,3.018,08:00,00:09,08:00,05:02,14:02,11.7,11700.0
S1,M117,F272,M33 แปลงที่ 16 -40050071,14.839651997575,99.90635986297,8.57,Sweeper,2023-01-24,2023-01-24,2023-01-24,1.924,08:00,00:06,08:00,04:27,13:27,10.284,10284.0
S1,M117,F273,M33 แปลงที่ 17 -40050018,14.840414663885,99.90678281679,4.0,Sweeper,2023-01-25,2023-01-25,2023-01-25,0.129,08:00,00:00,08:00,02:10,10:10,4.8,4800.0
S1,M117,F279,M33 แปลงที่ 23 -46110041,14.846754872957,99.897284548542,8.51,Sweeper,2023-01-31,2023-01-31,2023-01-31,2.202,08:00,00:07,08:00,04:25,13:25,10.212,10212.0
S1,M117,F278,M33 แปลงที่ 22 -46110044,14.847504000123,99.896862738965,9.54,Sweeper,2023-01-30,2023-01-31,2023-01-31,0.061,08:00,00:00,13:25,04:56,18:22,11.448,11448.0
S1,M118,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Sweeper,2023-01-06,2023-01-07,2023-01-07,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
